Classifier_ID,Plate,trainsize_0,testsize_0,well_0,allele_0,trainsize_1,testsize_1,well_1,allele_1,AUROC
2025_06_02_B18A8A10R1_P2T1_M19_A19,2025_06_02_B18A8A10R1_P2T1,4451,1025,M19,CCM2_Val53Ile,2502,453,A19,CCM2,0.8244914661067141
2025_06_02_B18A8A10R1_P2T2_M19_A19,2025_06_02_B18A8A10R1_P2T2,4011,1465,M19,CCM2_Val53Ile,2147,808,A19,CCM2,0.9493165613489678
2025_06_02_B18A8A10R1_P2T3_M19_A19,2025_06_02_B18A8A10R1_P2T3,3915,1561,M19,CCM2_Val53Ile,1960,995,A19,CCM2,0.9005057317336199
2025_06_02_B18A8A10R1_P2T4_M19_A19,2025_06_02_B18A8A10R1_P2T4,4051,1425,M19,CCM2_Val53Ile,2256,699,A19,CCM2,0.9640408603769797
2025_06_02_B18A8A10R1_P2T1_C23_A19,2025_06_02_B18A8A10R1_P2T1,4551,1321,C23,CCM2_Val53Ile,2502,453,A19,CCM2,0.9900971402693458
2025_06_02_B18A8A10R1_P2T2_C23_A19,2025_06_02_B18A8A10R1_P2T2,4458,1414,C23,CCM2_Val53Ile,2147,808,A19,CCM2,0.9938836528631647
2025_06_02_B18A8A10R1_P2T3_C23_A19,2025_06_02_B18A8A10R1_P2T3,4269,1603,C23,CCM2_Val53Ile,1960,995,A19,CCM2,0.9919184192954792
2025_06_02_B18A8A10R1_P2T4_C23_A19,2025_06_02_B18A8A10R1_P2T4,4338,1534,C23,CCM2_Val53Ile,2256,699,A19,CCM2,0.9955533421744232
2025_06_02_B18A8A10R1_P2T1_M19_I21,2025_06_02_B18A8A10R1_P2T1,4451,1025,M19,CCM2_Val53Ile,1365,305,I21,CCM2,0.9571211515393842
2025_06_02_B18A8A10R1_P2T2_M19_I21,2025_06_02_B18A8A10R1_P2T2,4011,1465,M19,CCM2_Val53Ile,1190,480,I21,CCM2,0.9914775312855518
2025_06_02_B18A8A10R1_P2T3_M19_I21,2025_06_02_B18A8A10R1_P2T3,3915,1561,M19,CCM2_Val53Ile,1213,457,I21,CCM2,0.993351341576754
