Description,NES,p.adjust,cell_type,negLog_padjust
GOCC ENDOCYTIC VESICLE MEMBRANE,-2.6302828380152254,7.850364574783018e-5,EC,4.10511017393756
GOCC ENDOCYTIC VESICLE,-2.4841451307321245,9.068918776001274e-5,EC,4.0424444877587575
GOCC SIDE OF MEMBRANE,-2.265722077646985,0.0013499534765555104,EC,2.8696811983371253
GOCC CELL SURFACE,-2.158274200643228,0.0015651836769602359,EC,2.805434689932527
GOCC VESICLE MEMBRANE,-2.053093421296742,0.0027616254000346163,EC,2.558835231525377
GOCC PLASMA MEMBRANE PROTEIN COMPLEX,-2.2117998644881407,0.002810567522346696,EC,2.551205976558441
GOCC EXTERNAL SIDE OF PLASMA MEMBRANE,-2.200759607631249,0.002810567522346696,EC,2.551205976558441
GOCC VACUOLE,-1.9802103726250575,0.004746327137840805,EC,2.3236423315921773
GOCC ENDOSOME MEMBRANE,-2.016800767695872,0.010039765775307335,EC,1.9982764190314495
GOCC SECRETORY VESICLE,-1.8351930069714097,0.0158953338569323,EC,1.798730345968726
GOCC ENDOSOME,-1.917209564197336,0.017113649325646626,EC,1.7666573713473652
GOCC CLATHRIN COATED VESICLE MEMBRANE,-2.048473015714396,0.019936734873745577,EC,1.7003459665071545
GOCC INTRINSIC COMPONENT OF PLASMA MEMBRANE,-1.8143247267260856,0.022682694141040058,EC,1.6443053633109683
GOCC CHROMATIN,-1.7883142321857814,0.02371485643644076,EC,1.62497950010974
GOCC SECRETORY GRANULE MEMBRANE,-1.9482982711855723,0.029054114575062805,EC,1.5367923551597686
GOCC RNA POLYMERASE II TRANSCRIPTION REGULATOR COMPLEX,-1.9216730332350043,0.03613106341824217,EC,1.4421192559830982
GOCC PHAGOCYTIC VESICLE,-1.9001605545993614,0.03613106341824217,EC,1.4421192559830982
GOCC VACUOLAR MEMBRANE,-1.851110484176978,0.03613106341824217,EC,1.4421192559830982
GOCC SIDE OF MEMBRANE,-3.0737105609264637,2.0242678338721274e-5,Macrophage,4.693732025884986
GOCC CELL SURFACE,-2.732479761489589,6.924456457437754e-4,Macrophage,3.159614311332108
GOCC EXTERNAL SIDE OF PLASMA MEMBRANE,-2.7102806921745586,0.0019435092924405188,Macrophage,2.711413378549055
GOCC RIBOSOMAL SUBUNIT,-4.320475502216976,4e-9,Fibroblasts,8.397940008672037
GOCC CYTOSOLIC RIBOSOME,-4.167219831441559,4e-9,Fibroblasts,8.397940008672037
GOCC RIBOSOME,-3.844130718456226,4e-9,Fibroblasts,8.397940008672037
GOCC RIBONUCLEOPROTEIN COMPLEX,-3.2360612561702067,2.602933314843669e-6,Fibroblasts,5.584536958039975
