Description,NES,p.adjust,cell_type,negLog_padjust
EPITHELIAL MESENCHYMAL TRANSITION,-3.2372686681257505,2.05e-9,EC,8.688246138944246
ALLOGRAFT REJECTION,2.695395074498102,2.05e-9,EC,8.688246138944246
INTERFERON GAMMA RESPONSE,2.325242733796406,4.338292864092734e-7,EC,6.362681133519092
TNFA SIGNALING VIA NFKB,2.269191050044568,4.338292864092734e-7,EC,6.362681133519092
MYC TARGETS V1,-2.608154640922289,2.8459722051629757e-6,EC,5.545769345714591
IL6 JAK STAT3 SIGNALING,2.1032328436634664,5.396840962847523e-4,EC,3.267860379780888
INFLAMMATORY RESPONSE,1.987706141903717,5.396840962847523e-4,EC,3.267860379780888
KRAS SIGNALING UP,1.9205018351488654,0.001578519231050277,EC,2.8017501227434836
INTERFERON ALPHA RESPONSE,1.9498823117535575,0.0025019882759497493,EC,2.6017147296954604
COMPLEMENT,1.797069763701989,0.004128607910763079,EC,2.3841963596240885
IL2 STAT5 SIGNALING,1.6904482627728334,0.013726455966895243,EC,1.862441578764777
ESTROGEN RESPONSE EARLY,-1.9275470564107242,0.02070538231130776,EC,1.6839167461247304
HYPOXIA,1.6186763593343954,0.023118347224745216,EC,1.6360432176922743
E2F TARGETS,-1.6208991499593222,0.049455183900308196,EC,1.3057881788635342
UV RESPONSE DN,-2.458117227087576,0.004320332930888971,VSMC,2.364482784556237
EPITHELIAL MESENCHYMAL TRANSITION,-2.240117572348795,0.005307000687088942,VSMC,2.2751508561431946
HYPOXIA,-2.3008721406762147,0.008800085884456152,VSMC,2.055513089331266
OXIDATIVE PHOSPHORYLATION,2.549289031657121,6.968336320918046e-4,Macrophage,3.1568708966350068
INTERFERON GAMMA RESPONSE,2.4818690302228545,6.968336320918046e-4,Macrophage,3.1568708966350068
INTERFERON ALPHA RESPONSE,2.332565753383433,0.0025666115995702293,Macrophage,2.590639847310558
TNFA SIGNALING VIA NFKB,-2.0860682040280283,0.0056149089623330085,Macrophage,2.2506572808053615
TNFA SIGNALING VIA NFKB,2.6429087378952225,1.8236286083074693e-5,T cells,4.7390636033901155
OXIDATIVE PHOSPHORYLATION,2.2553032165253226,7.101736798894362e-4,T cells,3.1486354273464245
COMPLEMENT,2.294089273929219,8.059602362012342e-4,T cells,3.093686384527891
INTERFERON GAMMA RESPONSE,2.201226434305816,0.0034849352749068965,T cells,2.457805283566492
APOPTOSIS,2.0785813202712577,0.0040286135609624366,T cells,2.3948443896954386
IL6 JAK STAT3 SIGNALING,2.0793326468553617,0.004654954763184411,T cells,2.33208453513266
P53 PATHWAY,1.9776730260629387,0.007193953029055376,T cells,2.143032402115041
HYPOXIA,1.9124848671863677,0.013385037410400303,T cells,1.8733804106475593
E2F TARGETS,-2.2227781351272866,0.006729362816433854,B cells,2.1720260558960045
MYC TARGETS V1,-1.919377592892546,0.0257028063989006,B cells,1.590019454994943
