cell_type,time_point,gene_set,p_value,mean_diff,cohen_d,adjusted_p_value,log10_p
EC1.3,Week0,TNFA_NFkB_activation,0.6484480046401274,-0.05411596134529313,-0.23872971914702074,0.720497782933475,0.14236735122922747
EC1.2,Week0,TNFA_NFkB_activation,5.327165044858281e-8,-0.08242310922147017,-0.4067938137261422,3.551443363238854e-7,6.449595106862395
EC1.1,Week0,TNFA_NFkB_activation,0.07306847426331081,-0.012508774579033294,-0.11867885009070969,0.17192582179602545,0.7646588910771068
EC2,Week0,TNFA_NFkB_activation,0.2713321218927653,-0.027876278618538808,-0.23840740169777783,0.5029974938307563,0.2984341787973226
EC3,Week0,TNFA_NFkB_activation,0.5662710606640284,-0.009038030197181496,-0.06259780240388448,0.720497782933475,0.14236735122922747
EC1.3,Week0,Inflam_thrombogenesis,0.007865997224658552,-0.2518628446777256,-0.8568481585129706,0.024105272345976217,1.6178879574111558
EC1.2,Week0,Inflam_thrombogenesis,5.050251745800493e-8,-0.106507987377824,-0.4073724743357467,3.551443363238854e-7,6.449595106862395
EC1.1,Week0,Inflam_thrombogenesis,0.008436845321091676,-0.022861871801697048,-0.13103479940461496,0.024105272345976217,1.6178879574111558
EC2,Week0,Inflam_thrombogenesis,0.43968380260557166,-0.021692161142417177,-0.12987858399249483,0.6489907074411804,0.18776152159086432
EC3,Week0,Inflam_thrombogenesis,0.4542934952088263,-0.02986952157903877,-0.19140868279476056,0.6489907074411804,0.18776152159086432
EC1.3,Week0,Senesence,0.7352724765743016,-0.02722689676153944,-0.10573419436347124,0.7948891638641099,0.09969342339128823
EC1.2,Week0,Senesence,0.003009284045790403,-0.05554896879089111,-0.22662399329062238,0.010942851075601464,1.96086951117584
EC1.1,Week0,Senesence,0.03583093891076401,-0.01750164411486002,-0.10097846311030806,0.09554917042870403,1.0197730791981905
EC2,Week0,Senesence,0.6472572635171319,-0.029854229619322912,-0.10485046300863049,0.720497782933475,0.14236735122922747
EC3,Week0,Senesence,0.0013291439529375042,-0.1317850130267192,-0.6416518202869308,0.005316575811750017,2.2743679889175783
EC1.3,Week0,Athero_protective,0.8484906437757388,-0.015942829407539938,-0.058627586528840675,0.893148046079725,0.049076547531996015
EC1.2,Week0,Athero_protective,0.40016424665872574,0.014153243762332082,0.05465212897017529,0.6402627946539612,0.19364173407453877
EC1.1,Week0,Athero_protective,0.32865028721259515,0.009754241010040687,0.03445265681236711,0.554590441925044,0.25602761953093234
EC2,Week0,Athero_protective,0.6170750774519739,0.005245284615887136,0.015550627413515454,0.720497782933475,0.14236735122922747
EC3,Week0,Athero_protective,0.6403582850947568,0.03411929144790091,0.1104315637357428,0.720497782933475,0.14236735122922747
EC1.3,Week0,Athero_prone,0.11174212582898534,-0.11753550456277267,-0.4202309292766664,0.24831583517552297,0.6049955844725535
EC1.2,Week0,Athero_prone,4.128606280716604e-8,-0.10466705011165682,-0.3907946836659687,3.551443363238854e-7,6.449595106862395
EC1.1,Week0,Athero_prone,0.2734043905412342,-0.01111454030215736,-0.0429917441588889,0.5029974938307563,0.2984341787973226
EC2,Week0,Athero_prone,0.062372787447743584,0.1469303713114965,0.36255845019623,0.15593196861935896,0.807064838167918
EC3,Week0,Athero_prone,0.449725313613035,0.04028787358653321,0.1736324480359078,0.6489907074411804,0.18776152159086432
EC1.3,Week0,ECenrichment_genes_circu,1,-0.0031707179542561498,-0.02461049379452355,1,-0
EC1.2,Week0,ECenrichment_genes_circu,1.1942296420223048e-6,-0.041820654807922374,-0.3504680304812907,6.824169382984599e-6,5.1659502020658286
EC1.1,Week0,ECenrichment_genes_circu,8.197046524798572e-6,-0.030870371133369195,-0.2562979330761825,4.098523262399286e-5,4.3873725956016445
EC2,Week0,ECenrichment_genes_circu,0.006685414113268345,0.08578806227892777,0.5760472034637348,0.022284713710894483,1.651992940872281
EC3,Week0,ECenrichment_genes_circu,0.6081064810068622,0.0247416293471604,0.17231264832819193,0.720497782933475,0.14236735122922747
EC1.3,Week0,ECenrichment_genes_cytokine,0.11876153381162388,-0.18700562909476015,-0.5579547286086817,0.25002428170868185,0.6020178117279479
EC1.2,Week0,ECenrichment_genes_cytokine,1.6275380189698685e-10,-0.12918100446129455,-0.5097772238675012,6.5101520758794735e-9,8.18640886627914
EC1.1,Week0,ECenrichment_genes_cytokine,1.23507147034103e-8,-0.027389545861086412,-0.27717468419194696,1.6467619604547067e-7,6.7833691735882145
EC2,Week0,ECenrichment_genes_cytokine,0.276648621606916,-0.01045563221590895,-0.06284108743306799,0.5029974938307563,0.2984341787973226
EC3,Week0,ECenrichment_genes_cytokine,0.4728254352222248,0.009922655084002335,0.06768903678919186,0.6521730140996205,0.1856371755854049
EC1.3,Week0,ECenrichment_genes_immuneprocess,0.9648403039253557,-0.015352262229373914,-0.058478469812096985,0.9895797988978006,0.004549178897085014
EC1.2,Week0,ECenrichment_genes_immuneprocess,1.5211196018084946e-5,-0.06628070592874069,-0.3467051079990408,6.76053156359331e-5,4.170019155233018
EC1.1,Week0,ECenrichment_genes_immuneprocess,1.2182650140158255e-8,-0.04248707960754561,-0.3226423425304866,1.6467619604547067e-7,6.7833691735882145
EC2,Week0,ECenrichment_genes_immuneprocess,0.6385715331770746,-0.008023619104636517,-0.04210987976856788,0.720497782933475,0.14236735122922747
EC3,Week0,ECenrichment_genes_immuneprocess,0.33275426515502643,-0.03202487296282888,-0.20325011124984782,0.554590441925044,0.25602761953093234
