cell_type,time_point,gene_set,p_value,mean_diff,cohen_d,adjusted_p_value,log10_p
ECs,Week0,TNFA_NFkB_activation,1.525450586107765e-12,-0.06067672421831989,-0.3394766742934966,6.673846314221472e-12,11.175623798528402
B cells,Week0,TNFA_NFkB_activation,0.025758048567361035,-0.04840285460150327,-0.2765984088262466,0.039197030428592884,1.4067468339317675
Macrophages,Week0,TNFA_NFkB_activation,1.52823105311861e-48,-0.07185213341487917,-0.30517791203592515,5.348808685915135e-47,46.271742935501365
Fibroblasts,Week0,TNFA_NFkB_activation,2.0213930433223925e-42,-0.028241566408931995,-0.26730633918854907,3.537437825814187e-41,40.451311184582316
VSMCs,Week0,TNFA_NFkB_activation,1.0411938865072377e-7,-0.015880992359976726,-0.17012749582003206,3.419624346340079e-7,6.466021599579003
T cells,Week0,TNFA_NFkB_activation,0.35579512602685176,0.01687838667950528,0.07185024140935356,0.41509431369799377,0.3818532159023731
Neutrophils,Week0,TNFA_NFkB_activation,0.26039350855243837,-0.044760204542174165,-0.18610570075801208,0.325491885690548,0.48745983365107237
ECs,Week0,Inflam_thrombogenesis,1.254220183897284e-13,-0.07449450073984672,-0.3304129705556096,6.271100919486419e-13,12.202656210160162
B cells,Week0,Inflam_thrombogenesis,0.12958956902519964,0.021078999462304085,0.15904672344203963,0.16798647836599953,0.7747256742703692
Macrophages,Week0,Inflam_thrombogenesis,3.065288360976565e-38,-0.07318381663871686,-0.28003352435127055,2.6821273158544945e-37,36.57152061080183
Fibroblasts,Week0,Inflam_thrombogenesis,3.310167258449365e-14,-0.016570264275882707,-0.1467159518918456,1.9309309007621295e-13,12.7142332673675
VSMCs,Week0,Inflam_thrombogenesis,0.0688605682815859,-0.005101868667559184,-0.051485310241604965,0.09640479559422026,1.0159013618616386
T cells,Week0,Inflam_thrombogenesis,0.4189445075448285,-0.01845222085675216,-0.1192888599919471,0.47300186335706446,0.32513714838671925
Neutrophils,Week0,Inflam_thrombogenesis,0.10703574693092524,0.05446919748820275,0.2920487208910123,0.14408658240701475,0.8413764595600868
ECs,Week0,Senesence,1.0747390802783105e-7,-0.04906183472686736,-0.213717656715598,3.419624346340079e-7,6.466021599579003
B cells,Week0,Senesence,0.8504946733852714,0.012172243480180159,0.05947131716509613,0.8755092226024852,0.05773927470415355
Macrophages,Week0,Senesence,8.043221614591314e-8,-0.02898883896762433,-0.10647049127208663,3.127919516785511e-7,6.504744430121659
Fibroblasts,Week0,Senesence,2.1808437956594843e-40,-0.05134556936829657,-0.25495568112885514,2.5443177616027314e-39,38.59442865029851
VSMCs,Week0,Senesence,1.3323614633303086e-6,-0.03258738617501178,-0.16555345924469486,3.886054268046733e-6,5.410491138849804
T cells,Week0,Senesence,0.28660274947123854,-0.02743235230330457,-0.12149099782191539,0.34589987005149475,0.4610496011424161
Neutrophils,Week0,Senesence,0.008337645867238978,0.1159218043567033,0.5576244693298708,0.013896076445398297,1.8571078054041266
ECs,Week0,Athero_protective,6.027990300944814e-6,0.05723779191703682,0.18312267555243758,1.5069975752362034e-5,4.821887446465981
B cells,Week0,Athero_protective,0.9846780746782045,-7.96408971758561e-4,-0.005020583999636439,0.9846780746782045,0.006705732185410453
Macrophages,Week0,Athero_protective,0.003179219478430898,-0.012525954529991196,-0.06395839987837419,0.005964423175123332,2.2244315509834447
Fibroblasts,Week0,Athero_protective,0.054656760880662986,0.01743352429221473,0.05218086785114933,0.07970777628430019,1.0984993068019255
VSMCs,Week0,Athero_protective,7.701084017963896e-4,0.029822109971638838,0.13064753530695075,0.0017969196041915758,2.745471353184309
T cells,Week0,Athero_protective,0.004674185198513923,-0.0638771599833326,-0.34232460993995073,0.008179824097399365,2.0872560354912935
Neutrophils,Week0,Athero_protective,0.00323782972363838,0.11399084280593827,0.6079930905430213,0.005964423175123332,2.2244315509834447
ECs,Week0,Athero_prone,0.003008289577952794,-0.024302398621721663,-0.0911990480363864,0.005964423175123332,2.2244315509834447
B cells,Week0,Athero_prone,0.020063896371956626,0.07209275298538308,0.4224196359912606,0.03191983513720372,1.4959393604036264
Macrophages,Week0,Athero_prone,2.9232050879275865e-35,-0.05241803480231296,-0.2690434183103234,2.0462435615493106e-34,33.68904267407383
Fibroblasts,Week0,Athero_prone,5.443957049566186e-6,0.014674051729499114,0.08324026819194937,1.4656807441139732e-5,4.833960617804761
VSMCs,Week0,Athero_prone,0.5636282944622142,0.005271505270874596,0.031296732923259046,0.6164684470680468,0.21008914715408697
T cells,Week0,Athero_prone,0.001605323843311185,-0.02082801312774965,-0.23013599518737748,0.0035116459072432175,2.454489282140432
Neutrophils,Week0,Athero_prone,0.6677951486148583,-0.023911878174522033,-0.3032864444129489,0.7082675818642437,0.14980263585186218
