p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
0,5.174168446574449,0.995,0.253,0,Fibroblasts,Dcn
0,4.32922075268138,0.998,0.566,0,Fibroblasts,Gsn
0,3.9476546658100036,0.993,0.282,0,Fibroblasts,Col1a1
0,3.82704066969806,0.999,0.338,0,Fibroblasts,Col1a2
0,3.47064568765038,0.861,0.096,0,Fibroblasts,Clec3b
0,3.469420725256117,1,0.475,0,Fibroblasts,Sparc
0,3.4227202340947724,0.977,0.277,0,Fibroblasts,Serpinf1
0,3.410910368771763,0.996,0.338,0,Fibroblasts,Col3a1
0,3.2854063871166637,0.984,0.191,0,Fibroblasts,Serping1
0,3.273136595741196,0.943,0.112,0,Fibroblasts,Lum
0,3.2528810534053036,0.884,0.129,0,Fibroblasts,Pi16
0,3.071989342402227,0.816,0.18,0,Fibroblasts,Mfap4
0,2.930801873338519,0.954,0.231,0,Fibroblasts,Col14a1
0,2.9033622163919404,0.978,0.298,0,Fibroblasts,Mfap5
0,2.886618576262649,0.566,0.026,0,Fibroblasts,Igfbp6
0,2.774900507036036,0.598,0.079,0,Fibroblasts,Sfrp2
0,2.6397830339857533,0.91,0.072,0,Fibroblasts,Dpt
0,2.602182139907303,0.916,0.099,0,Fibroblasts,Pcolce
0,2.5941673356048995,0.489,0.049,0,Fibroblasts,Igfbp5
0,2.5928038875067068,0.979,0.631,0,Fibroblasts,Nupr1
0,2.526049954394158,0.464,0.037,0,Fibroblasts,C3
0,2.51830713116923,0.876,0.132,0,Fibroblasts,Lama2
0,2.4949802600588207,0.695,0.178,0,Fibroblasts,Rbp4
0,2.4826435492554104,0.868,0.06,0,Fibroblasts,Cygb
0,2.349165447239086,0.926,0.529,0,Fibroblasts,Mgp
0,2.3270838534313434,0.846,0.049,0,Fibroblasts,Fbln1
0,2.307592121660593,0.958,0.473,0,Fibroblasts,Tmsb10
0,2.297911419175911,0.998,0.991,0,Fibroblasts,Cst3
0,2.2695202668243666,0.986,0.331,0,Fibroblasts,Serpinh1
0,2.236898387863275,0.987,0.575,0,Fibroblasts,Selenom
0,2.236365520174167,0.997,0.805,0,Fibroblasts,Ctsl
0,2.222123693081086,0.303,0.007,0,Fibroblasts,Mmp3
0,2.174456549549442,0.886,0.178,0,Fibroblasts,Pcolce2
0,2.139189472006166,0.817,0.197,0,Fibroblasts,Fbn1
0,2.138209104107846,0.927,0.253,0,Fibroblasts,Plpp3
0,2.112349085759913,0.914,0.176,0,Fibroblasts,Abi3bp
0,2.106548837612557,0.977,0.567,0,Fibroblasts,Nenf
0,2.0852231513136283,0.946,0.243,0,Fibroblasts,Rarres2
0,2.0746312090444103,0.49,0.016,0,Fibroblasts,Sfrp4
0,2.0480006914159183,0.956,0.407,0,Fibroblasts,Rbp1
0,2.046032743369053,0.953,0.599,0,Fibroblasts,Cebpd
0,2.0136114397390728,0.994,0.396,0,Fibroblasts,Igfbp7
0,1.9943082163828596,0.585,0.025,0,Fibroblasts,F3
0,1.9891668228900208,0.812,0.098,0,Fibroblasts,Mmp23
0,1.988606975891579,0.974,0.605,0,Fibroblasts,Cd302
0,1.9665328238633126,0.96,0.3,0,Fibroblasts,Aebp1
0,1.959582188199531,0.723,0.082,0,Fibroblasts,Abca8a
0,1.9546816580129476,0.998,0.886,0,Fibroblasts,Timp2
0,1.939332765886383,0.575,0.012,0,Fibroblasts,Smoc2
0,1.931575731521526,0.862,0.262,0,Fibroblasts,Fmo2
