Description,NES,p.adjust,cell_type,negLog_padjust
GOBP RESPONSE TO MOLECULE OF BACTERIAL ORIGIN,-3.1001711147489472,5.676200581437894e-9,allECs,8.245942266161622
GOBP INFLAMMATORY RESPONSE,-3.093697768019366,5.676200581437894e-9,allECs,8.245942266161622
GOBP CELLULAR RESPONSE TO MOLECULE OF BACTERIAL ORIGIN,-3.0380839195305147,5.676200581437894e-9,allECs,8.245942266161622
GOBP POSITIVE REGULATION OF LEUKOCYTE CELL CELL ADHESION,-3.0214056099631934,5.676200581437894e-9,allECs,8.245942266161622
GOBP REGULATION OF T CELL ACTIVATION,-2.9901516733202307,5.676200581437894e-9,allECs,8.245942266161622
GOBP LEUKOCYTE CELL CELL ADHESION,-2.9863430390994137,5.676200581437894e-9,allECs,8.245942266161622
GOBP RESPONSE TO BACTERIUM,-2.9755867019634725,5.676200581437894e-9,allECs,8.245942266161622
GOBP DEFENSE RESPONSE,-2.947122324847009,5.676200581437894e-9,allECs,8.245942266161622
GOBP POSITIVE REGULATION OF IMMUNE SYSTEM PROCESS,-2.9399856343999367,5.676200581437894e-9,allECs,8.245942266161622
GOBP REGULATION OF IMMUNE SYSTEM PROCESS,-2.935211324417712,5.676200581437894e-9,allECs,8.245942266161622
GOBP T CELL ACTIVATION,-2.931195336157382,5.676200581437894e-9,allECs,8.245942266161622
GOBP INNATE IMMUNE RESPONSE,-2.9144576678373957,5.676200581437894e-9,allECs,8.245942266161622
GOBP IMMUNE RESPONSE,-2.9065689061651616,5.676200581437894e-9,allECs,8.245942266161622
GOBP CELL ACTIVATION,-2.904361444697282,5.676200581437894e-9,allECs,8.245942266161622
GOBP REGULATION OF CELL ACTIVATION,-2.8990965023654574,5.676200581437894e-9,allECs,8.245942266161622
GOBP LYMPHOCYTE ACTIVATION,-2.8325733705482983,5.676200581437894e-9,allECs,8.245942266161622
GOBP LEUKOCYTE DIFFERENTIATION,-2.8266509645868,5.676200581437894e-9,allECs,8.245942266161622
GOBP RESPONSE TO CYTOKINE,-2.8205502688062447,5.676200581437894e-9,allECs,8.245942266161622
GOBP DEFENSE RESPONSE TO OTHER ORGANISM,-2.8069411887859603,5.676200581437894e-9,allECs,8.245942266161622
GOBP IMMUNE SYSTEM DEVELOPMENT,-2.7410966818981812,5.676200581437894e-9,allECs,8.245942266161622
GOBP BIOLOGICAL PROCESS INVOLVED IN INTERSPECIES INTERACTION BETWEEN ORGANISMS,-2.681399832768093,5.676200581437894e-9,allECs,8.245942266161622
GOBP CELLULAR RESPONSE TO BIOTIC STIMULUS,-2.9534099771682056,8.123939802833634e-9,allECs,8.090233303311795
GOBP POSITIVE REGULATION OF CELL CELL ADHESION,-2.9369371940706452,1.3715752548644769e-8,allECs,7.862780358766159
GOBP REGULATION OF CELL CELL ADHESION,-2.8485679304147697,2.9536717342496688e-8,allECs,7.529637773047707
GOBP POSITIVE REGULATION OF CELL ACTIVATION,-2.829215989728408,4.02067240519743e-8,allECs,7.395701310734671
GOBP REGULATION OF LYMPHOCYTE ACTIVATION,-2.827308827172938,5.736426326524722e-8,allECs,7.241358579729227
GOBP CYTOKINE PRODUCTION,-2.6601210226085894,9.864085350460662e-8,allECs,7.005943178598686
GOBP CELLULAR RESPONSE TO OXYGEN CONTAINING COMPOUND,-2.3877509329128546,1.2742034165795566e-7,allECs,6.894761234758875
GOBP REGULATION OF HEMOPOIESIS,-2.7711620752908197,2.0464652422499986e-7,allECs,6.688995627137557
GOBP REGULATION OF IMMUNE RESPONSE,-2.586793219839959,2.1232654940287401e-7,allECs,6.672995698070168
GOBP REGULATION OF CELL POPULATION PROLIFERATION,-2.2949402400267744,2.1232654940287401e-7,allECs,6.672995698070168
GOBP NEGATIVE REGULATION OF IMMUNE SYSTEM PROCESS,-2.756706982645387,2.188976034826909e-7,allECs,6.6597589931143
GOBP REGULATION OF CELL DIFFERENTIATION,-2.3806445107548027,2.318857133131291e-7,allECs,6.634726007810504
GOBP REGULATION OF CELL ADHESION,-2.575303475958202,5.627964425900483e-7,allECs,6.249648656383694
GOBP RESPONSE TO OXYGEN CONTAINING COMPOUND,-2.227933786565439,7.811797097817734e-7,allECs,6.107249045522754
GOBP REGULATION OF RESPONSE TO EXTERNAL STIMULUS,-2.5129946959640335,1.1615721200541789e-6,allECs,5.934953820414585
GOBP POSITIVE REGULATION OF CELL ADHESION,-2.6018532837334973,1.6397207632060166e-6,allECs,5.78523010397921
GOBP IMMUNE EFFECTOR PROCESS,-2.615275698630247,1.7322173493921177e-6,allECs,5.761397615944891
GOBP POSITIVE REGULATION OF GENE EXPRESSION,-2.3930680049165862,2.137901462649408e-6,allECs,5.670012315597688
GOBP NEGATIVE REGULATION OF CELL ACTIVATION,-2.6632142689817515,3.089812258849389e-6,allECs,5.510067908090626
GOBP POSITIVE REGULATION OF CYTOKINE PRODUCTION,-2.565360220711109,3.089812258849389e-6,allECs,5.510067908090626
GOBP CELL CELL ADHESION,-2.4873874367080395,3.736166505547859e-6,allECs,5.42757377729492
GOBP RESPONSE TO LIPID,-2.397933191390039,3.736166505547859e-6,allECs,5.42757377729492
GOBP REGULATION OF LEUKOCYTE DIFFERENTIATION,-2.625849929204311,4.369482008014317e-6,allECs,5.359570044584459
GOBP NEUTROPHIL CHEMOTAXIS,-2.6624701772442485,5.274859954967872e-6,allECs,5.277789066189899
GOBP NEUTROPHIL MIGRATION,-2.6624701772442485,5.274859954967872e-6,allECs,5.277789066189899
GOBP IMMUNE RESPONSE REGULATING SIGNALING PATHWAY,-2.5740852859444017,5.7701306630225344e-6,allECs,5.238814352253772
GOBP MYELOID LEUKOCYTE DIFFERENTIATION,-2.620597984527302,6.000340427532476e-6,allECs,5.221824109348895
GOBP REGULATION OF LEUKOCYTE MIGRATION,-2.573486450033074,6.723060628981641e-6,allECs,5.17243297223279
GOBP MONONUCLEAR CELL DIFFERENTIATION,-2.5598863479538276,6.723060628981641e-6,allECs,5.17243297223279
GOBP CELL ACTIVATION INVOLVED IN IMMUNE RESPONSE,-2.582872774173271,9.431386003204347e-6,allECs,5.02542448018819
GOBP ERK1 AND ERK2 CASCADE,-2.580794864077134,9.431386003204347e-6,allECs,5.02542448018819
GOBP POSITIVE REGULATION OF IMMUNE EFFECTOR PROCESS,-2.5672243442505147,9.431386003204347e-6,allECs,5.02542448018819
GOBP POSITIVE REGULATION OF ERK1 AND ERK2 CASCADE,-2.5658203036620293,9.431386003204347e-6,allECs,5.02542448018819
GOBP REGULATION OF MULTICELLULAR ORGANISMAL DEVELOPMENT,-2.230798603284387,9.431386003204347e-6,allECs,5.02542448018819
GOBP HUMORAL IMMUNE RESPONSE,-2.628189304007357,1.2481460566603796e-5,allECs,4.903734591023662
GOBP POSITIVE REGULATION OF IMMUNE RESPONSE,-2.5186422781563107,1.2481460566603796e-5,allECs,4.903734591023662
GOBP REGULATION OF MYELOID CELL DIFFERENTIATION,-2.6102664349439237,1.299364695642228e-5,allECs,4.8862689373983095
GOBP MYELOID CELL DIFFERENTIATION,-2.483937804216671,1.5170188617798559e-5,allECs,4.81900901940049
GOBP CELLULAR RESPONSE TO LIPID,-2.4124186762897737,1.5754253394706848e-5,allECs,4.802602173527239
GOBP RESPONSE TO INTERFERON GAMMA,-2.6072772507861854,1.6889035255534922e-5,allECs,4.772395157721123
GOBP REGULATION OF LEUKOCYTE PROLIFERATION,-2.5258325613553754,1.6889035255534922e-5,allECs,4.772395157721123
GOBP LEUKOCYTE MIGRATION,-2.4972992830676355,1.6889035255534922e-5,allECs,4.772395157721123
GOBP REGULATION OF INTRACELLULAR SIGNAL TRANSDUCTION,-2.0414901488749213,2.06051989440548e-5,allECs,4.686023187987822
GOBP INTERLEUKIN 6 PRODUCTION,-2.5720634577539863,3.017496899617301e-5,allECs,4.520353167454239
GOBP LEUKOCYTE CHEMOTAXIS,-2.5012396267802663,3.0356608889367863e-5,allECs,4.517746744729498
GOBP ADAPTIVE IMMUNE RESPONSE,-2.4659817097103387,3.0356608889367863e-5,allECs,4.517746744729498
GOBP POSITIVE REGULATION OF CELLULAR BIOSYNTHETIC PROCESS,-2.0118501844502465,3.0356608889367863e-5,allECs,4.517746744729498
GOBP CELL CHEMOTAXIS,-2.518196770260579,3.380367984478532e-5,allECs,4.471036020157394
GOBP TISSUE DEVELOPMENT,-2.0827270373574387,3.422607137580136e-5,allECs,4.465642948297961
GOBP REGULATION OF IMMUNE EFFECTOR PROCESS,-2.4575387921943426,3.778320753804664e-5,allECs,4.422701176193336
GOBP LIPOPOLYSACCHARIDE MEDIATED SIGNALING PATHWAY,-2.5258146438870166,3.96977633966213e-5,allECs,4.40123396104213
GOBP RESPONSE TO CHEMOKINE,-2.5219652067119123,4.145962550562639e-5,allECs,4.382374625097308
GOBP LOCOMOTION,-2.0263517456946696,4.145962550562639e-5,allECs,4.382374625097308
GOBP REGULATION OF INFLAMMATORY RESPONSE,-2.443102762715166,4.2994815009198864e-5,allECs,4.366583915319662
GOBP REGULATION OF LEUKOCYTE CHEMOTAXIS,-2.5487308429806976,4.651572109922154e-5,allECs,4.33240024210492
GOBP GRANULOCYTE CHEMOTAXIS,-2.5229670725500073,4.9115956420804174e-5,allECs,4.3087773946441175
GOBP GRANULOCYTE MIGRATION,-2.5229670725500073,4.9115956420804174e-5,allECs,4.3087773946441175
GOBP ANTIGEN RECEPTOR MEDIATED SIGNALING PATHWAY,-2.4862980450932075,4.9115956420804174e-5,allECs,4.3087773946441175
GOBP TAXIS,-2.3433576053951435,4.9115956420804174e-5,allECs,4.3087773946441175
GOBP LEUKOCYTE MEDIATED IMMUNITY,-2.471280661975847,4.9494388122391625e-5,allECs,4.305444040372361
GOBP IMMUNE RESPONSE REGULATING CELL SURFACE RECEPTOR SIGNALING PATHWAY,-2.4442909667810806,4.9494388122391625e-5,allECs,4.305444040372361
GOBP MAPK CASCADE,-2.2621531860557433,5.138205271714997e-5,allECs,4.289188549623517
GOBP NEGATIVE REGULATION OF CYTOKINE PRODUCTION,-2.445449147929355,5.143913657302461e-5,allECs,4.288706329833407
GOBP MYELOID LEUKOCYTE MIGRATION,-2.4423387575461364,5.311463783821895e-5,allECs,4.274785775409954
GOBP POSITIVE REGULATION OF RNA METABOLIC PROCESS,-2.001449534584353,5.86795580102505e-5,allECs,4.231513166035848
GOBP PRODUCTION OF MOLECULAR MEDIATOR OF IMMUNE RESPONSE,-2.4768326054618166,6.921763906780583e-5,allECs,4.159783218062845
GOBP MYELOID LEUKOCYTE ACTIVATION,-2.41652748709067,7.138731187012245e-5,allECs,4.146378971339522
GOBP CELLULAR RESPONSE TO INTERLEUKIN 1,-2.4671378737067373,8.385449032510098e-5,allECs,4.076473676394821
