Description,NES,p.adjust,cell_type,negLog_padjust
GOCC ENDOPLASMIC RETICULUM LUMEN,-2.85621212860584,1.0123788933393303e-7,EC,6.994656917841929
GOCC EXTERNAL ENCAPSULATING STRUCTURE,-2.4641484916642713,2.6740365188265426e-7,EC,6.572832665953408
GOCC COLLAGEN CONTAINING EXTRACELLULAR MATRIX,-2.3926696132779446,1.8676039200486347e-6,EC,5.7287152231682485
GOCC INTRINSIC COMPONENT OF PLASMA MEMBRANE,1.9535258037145715,3.010201958786711e-6,EC,5.521404365986125
GOCC EXTERNAL SIDE OF PLASMA MEMBRANE,2.2482837471962913,1.2674937623130861e-05,EC,4.897054169272474
GOCC BASEMENT MEMBRANE,-2.7688418180633643,1.8466554374271758e-5,EC,4.733614130863926
GOCC SIDE OF MEMBRANE,2.078747173445391,1.8466554374271758e-5,EC,4.733614130863926
GOCC CONTRACTILE FIBER,-2.5879457477894805,2.2004843602164403e-5,EC,4.65748171380671
GOCC ENDOCYTIC VESICLE,2.1270824229577445,2.2004843602164403e-5,EC,4.65748171380671
GOCC TERTIARY GRANULE MEMBRANE,2.3356936273195776,3.147637520363372e-5,EC,4.502015286468626
GOCC TERTIARY GRANULE,2.211813354174259,4.3548630518224366e-5,EC,4.361025497779851
GOCC VACUOLE,1.8494050606553574,6.261158212261697e-5,EC,4.203345321954527
GOCC CELL SURFACE,1.8776759248951653,9.352382527712761e-5,EC,4.029077738129653
GOCC ACTOMYOSIN,-2.5925162595888613,1.1715870717564738e-4,EC,3.931225429322124
GOCC VESICLE MEMBRANE,1.7067230743810542,1.5237739428255396e-4,EC,3.8170794573175684
GOCC ENDOPLASMIC RETICULUM PROTEIN CONTAINING COMPLEX,-2.350901429965459,2.3839951993419068e-4,EC,3.622694623470987
GOCC ENDOCYTIC VESICLE MEMBRANE,2.1026630585520665,2.3839951993419068e-4,EC,3.622694623470987
GOCC ENDOSOME MEMBRANE,1.893225968097091,2.3839951993419068e-4,EC,3.622694623470987
GOCC SUPRAMOLECULAR POLYMER,-1.7241573335586569,2.6225806288011796e-4,EC,3.5812711509494086
GOCC ACTIN FILAMENT BUNDLE,-2.500608163305091,2.6544628580134723e-4,EC,3.576023347050135
GOCC ADHERENS JUNCTION,-2.2274768231311386,3.5133090873334824e-4,EC,3.454283640979836
GOCC ENDOSOME,1.6860397653263903,6.703491194029179e-4,EC,3.173698956789971
GOCC PLASMA MEMBRANE PROTEIN COMPLEX,1.8997111374566353,6.803907958403799e-4,EC,3.1672415700488434
GOCC I BAND,-2.369609831028907,8.243128510464262e-4,EC,3.0839079294477636
GOCC PHAGOCYTIC VESICLE,1.971688075791634,0.0010853206681937428,EC,2.964441926468405
GOCC SUPRAMOLECULAR COMPLEX,-1.5384383059320719,0.001309296884002896,EC,2.8829618656990097
GOCC CLATHRIN COATED ENDOCYTIC VESICLE MEMBRANE,1.9649309346480963,0.007965090574938027,EC,2.098809281259946
GOCC RECEPTOR COMPLEX,1.783051061760712,0.007965090574938027,EC,2.098809281259946
GOCC SECRETORY GRANULE,1.5978974553110634,0.007965090574938027,EC,2.098809281259946
GOCC VACUOLAR MEMBRANE,1.7103788238640332,0.011422305004510051,EC,1.9422462472523956
GOCC SECRETORY VESICLE,1.543419100489934,0.012169546528248126,EC,1.914725604510179
GOCC SPECIFIC GRANULE,1.8224150385307292,0.013932559800337566,EC,1.855969084220021
GOCC FICOLIN 1 RICH GRANULE MEMBRANE,1.8376736334945187,0.017975559996883266,EC,1.7453175710553464
GOCC PROTEASOME ACCESSORY COMPLEX,-1.985953442760878,0.018387173119718526,EC,1.7354850349205306
GOCC CLATHRIN COATED ENDOCYTIC VESICLE,1.790476335759761,0.030788676016534896,EC,1.5116089863509747
GOCC PLASMA MEMBRANE SIGNALING RECEPTOR COMPLEX,1.77959102279507,0.030788676016534896,EC,1.5116089863509747
GOCC CELL CELL CONTACT ZONE,-1.9245182266056706,0.031026641352932285,EC,1.5082652344330634
GOCC BLOOD MICROPARTICLE,1.773554944664903,0.03128744272110645,EC,1.504629932459395
GOCC SECRETORY GRANULE MEMBRANE,1.645468776147533,0.03724030005284237,EC,1.4289868284756373
GOCC PHAGOCYTIC VESICLE MEMBRANE,1.7000252719054203,0.04866668542856004,EC,1.3127682315067626
GOCC EXTERNAL ENCAPSULATING STRUCTURE,-2.745824680293423,2.8012627267701384e-4,VSMC,3.552646157354343
GOCC COLLAGEN CONTAINING EXTRACELLULAR MATRIX,-2.5709261845602334,0.0011134867280753642,VSMC,2.9533149550627984
GOCC ENDOPLASMIC RETICULUM LUMEN,-2.4352114066038926,0.003837085157168836,VSMC,2.415998562313769
GOCC INNER MITOCHONDRIAL MEMBRANE PROTEIN COMPLEX,3.3223986746522645,4.5372444251324324e-8,Macrophage,7.343207824298687
GOCC MITOCHONDRIAL PROTEIN CONTAINING COMPLEX,3.296823210515548,4.5372444251324324e-8,Macrophage,7.343207824298687
GOCC ORGANELLE INNER MEMBRANE,3.053287974158519,5.936505217511144e-7,Macrophage,6.226469146165591
GOCC MITOCHONDRIAL ENVELOPE,2.9355189063374785,1.9252723186188247e-6,Macrophage,5.7155078333715705
GOCC RIBOSOME,2.867830938512455,1.1508870744102082e-5,Macrophage,4.938967287461861
GOCC RESPIRASOME,2.857692826719416,1.1508870744102082e-5,Macrophage,4.938967287461861
GOCC CYTOSOLIC RIBOSOME,2.717076390226514,3.0307281332030642e-5,Macrophage,4.518453019602426
GOCC RIBONUCLEOPROTEIN COMPLEX,2.577693405981481,8.493136070344428e-5,Macrophage,4.070931917934974
GOCC RIBOSOMAL SUBUNIT,2.621572087929217,1.0124687433219477e-4,Macrophage,3.9946183753353526
GOCC INTRINSIC COMPONENT OF PLASMA MEMBRANE,-2.476878486177697,1.789008743463275e-4,Macrophage,3.7473875368901037
GOCC PLASMA MEMBRANE REGION,-2.423591683453909,6.016698122899895e-4,Macrophage,3.2206417779129772
GOCC ENVELOPE,2.2345981989168826,8.206181611492724e-4,Macrophage,3.0858588758657715
GOCC MITOCHONDRION,2.2088502188254644,9.221583378452013e-4,Macrophage,3.035194502646489
GOCC TRANSPORTER COMPLEX,2.3396613364854355,9.461833558798386e-4,Macrophage,3.0240246958067085
GOCC OXIDOREDUCTASE COMPLEX,2.3073534202503634,0.0011228657232702638,Macrophage,2.949672175287466
GOCC LARGE RIBOSOMAL SUBUNIT,2.0930124380008035,0.005032678898773696,Macrophage,2.29820077811456
GOCC CYTOSOLIC LARGE RIBOSOMAL SUBUNIT,1.9531531201822603,0.017509271046761758,Macrophage,1.756731934268287
GOCC MEMBRANE PROTEIN COMPLEX,1.8829655717146756,0.017509271046761758,Macrophage,1.756731934268287
GOCC ACTIN CYTOSKELETON,-1.88003003755757,0.02242630395298502,Macrophage,1.6492422959707242
GOCC VESICLE MEMBRANE,-1.8290461410514827,0.02242630395298502,Macrophage,1.6492422959707242
GOCC VACUOLAR MEMBRANE,-1.845228836623502,0.023304141391159727,Macrophage,1.632566893415826
GOCC CATALYTIC COMPLEX,1.7761381367547848,0.026225777619315202,Macrophage,1.5812716256979598
GOCC MITOCHONDRION,-2.099310825202642,0.03191701348641726,Fibroblasts,1.4959777528804994
GOCC ACTIN CYTOSKELETON,2.0364664093230935,0.03191701348641726,Fibroblasts,1.4959777528804994
GOCC SYNAPSE,2.0090808847111417,0.03191701348641726,Fibroblasts,1.4959777528804994
GOCC COLLAGEN CONTAINING EXTRACELLULAR MATRIX,2.8270899207006446,4.1249764146816215e-6,T cells,5.3845785302662765
GOCC EXTERNAL ENCAPSULATING STRUCTURE,2.800055389267779,4.1249764146816215e-6,T cells,5.3845785302662765
GOCC MITOCHONDRION,2.4369502756070758,4.1249764146816215e-6,T cells,5.3845785302662765
GOCC MITOCHONDRIAL ENVELOPE,2.462049147332279,2.6278743596390684e-5,T cells,4.580395402514018
GOCC MITOCHONDRIAL PROTEIN CONTAINING COMPLEX,2.5320282435874915,5.098553618983828e-5,T cells,4.292553009075517
GOCC ORGANELLE INNER MEMBRANE,2.3631727485439784,2.1713236013534687e-4,T cells,3.663275447015812
GOCC INNER MITOCHONDRIAL MEMBRANE PROTEIN COMPLEX,2.3394873241428624,0.0012911449865729166,T cells,2.8890249867552176
GOCC TERTIARY GRANULE,2.3131016354403315,0.0021842653575791984,T cells,2.6606946020790816
GOCC VACUOLAR LUMEN,2.197098164557758,0.006773058703425232,T cells,2.1692151602620626
GOCC RESPIRASOME,2.1674130343501603,0.006773058703425232,T cells,2.1692151602620626
GOCC ENDOPLASMIC RETICULUM GOLGI INTERMEDIATE COMPARTMENT,2.1854274275845094,0.006899620356989943,T cells,2.161174805117868
GOCC SECRETORY VESICLE,1.9481985723088393,0.008875776647280675,T cells,2.0517936350197936
GOCC VESICLE LUMEN,2.1428729444375283,0.011371653957465927,T cells,1.9441763644801555
GOCC RIBOSOME,2.011751372574496,0.011371653957465927,T cells,1.9441763644801555
GOCC ENDOCYTIC VESICLE MEMBRANE,2.099074341251085,0.011933914878523407,T cells,1.9232170641892072
GOCC RIBOSOMAL SUBUNIT,2.0111381404403086,0.011933914878523407,T cells,1.9232170641892072
GOCC COATED VESICLE,2.126854885595568,0.012560123290537045,T cells,1.9010060975305814
GOCC SECRETORY GRANULE,1.9364688587535543,0.013599453731994948,T cells,1.8664785361845595
GOCC COATED VESICLE MEMBRANE,2.056789296712471,0.01375801238537247,T cells,1.8614443039214155
GOCC MITOCHONDRIAL MATRIX,1.9481166758499913,0.01375801238537247,T cells,1.8614443039214155
GOCC ENVELOPE,1.7713924186359316,0.014633627527449275,T cells,1.8346480033433605
GOCC FICOLIN 1 RICH GRANULE,2.0755515623765444,0.015086700295578808,T cells,1.8214057370385555
GOCC CHROMOSOMAL REGION,-1.8074289605768525,0.020351889675372,T cells,1.6913952602723947
GOCC OXIDOREDUCTASE COMPLEX,1.954587751768792,0.02292913837862216,T cells,1.6396122646961628
GOCC AZUROPHIL GRANULE,1.9253538855662407,0.02292913837862216,T cells,1.6396122646961628
GOCC CELL SURFACE,1.890643682991089,0.02292913837862216,T cells,1.6396122646961628
GOCC CHROMOSOME CENTROMERIC REGION,-1.9044988142260753,0.02313194351602633,T cells,1.6357878768348113
GOCC MEMBRANE PROTEIN COMPLEX,1.7782389755413635,0.02313194351602633,T cells,1.6357878768348113
GOCC ENDOPLASMIC RETICULUM,1.6851560652131987,0.02331829588305371,T cells,1.6323031912898984
