Description,NES,p.adjust,cell_type,negLog_padjust
GOMF CYTOKINE ACTIVITY,-2.625906463564933,2.3728610381962699e-4,EC,3.6247276946152227
GOMF DNA BINDING TRANSCRIPTION REPRESSOR ACTIVITY,-2.508818807929916,3.006807982256103e-4,EC,3.5218943054908696
GOMF SIGNALING RECEPTOR REGULATOR ACTIVITY,-2.49519149497293,3.006807982256103e-4,EC,3.5218943054908696
GOMF DNA BINDING TRANSCRIPTION ACTIVATOR ACTIVITY,-2.4187580773786994,3.006807982256103e-4,EC,3.5218943054908696
GOMF CIS REGULATORY REGION SEQUENCE SPECIFIC DNA BINDING,-2.237415364593288,3.006807982256103e-4,EC,3.5218943054908696
GOMF SEQUENCE SPECIFIC DNA BINDING,-2.2054455929366883,3.006807982256103e-4,EC,3.5218943054908696
GOMF MOLECULAR FUNCTION REGULATOR,-2.0114157572345133,3.006807982256103e-4,EC,3.5218943054908696
GOMF IMMUNE RECEPTOR ACTIVITY,-2.45020213091982,3.9816968538047284e-4,EC,3.39993180802821
GOMF G PROTEIN COUPLED RECEPTOR BINDING,-2.419784974495598,5.312790135637179e-4,EC,3.2746773391316424
GOMF DNA BINDING TRANSCRIPTION FACTOR ACTIVITY,-2.152377265636842,5.312790135637179e-4,EC,3.2746773391316424
GOMF CYTOKINE RECEPTOR BINDING,-2.247374829110646,0.0013515657156974764,EC,2.8691628332275987
GOMF ENZYME REGULATOR ACTIVITY,-1.9306590550564027,0.0032510432390660355,EC,2.487977254323343
GOMF KINASE BINDING,-2.018364400887398,0.004025252114557572,EC,2.3952069131763185
GOMF PROTEIN CONTAINING COMPLEX BINDING,-1.8361893549497903,0.004434827349544259,EC,2.353123282844597
GOMF GLYCOSAMINOGLYCAN BINDING,-2.17358691454599,0.004598592708860497,EC,2.3373750535978224
GOMF TRANSCRIPTION REGULATOR ACTIVITY,-1.822647362251367,0.006942943282327438,EC,2.1584563825286738
GOMF NUCLEOSIDE TRIPHOSPHATASE REGULATOR ACTIVITY,-1.994982722577236,0.012026310393032164,EC,1.9198675914233743
GOMF SIGNALING RECEPTOR BINDING,-1.8073154338746924,0.013049953987260767,EC,1.8843910195988018
GOMF GUANYL NUCLEOTIDE EXCHANGE FACTOR ACTIVITY,-2.0488671893278854,0.01986818746656761,EC,1.7018417508656731
GOMF TRANSCRIPTION FACTOR BINDING,-1.7894576830555236,0.028431703532442582,EC,1.5461971180592975
