cell_type,time_point,gene_set,p_value,mean_diff,cohen_d,adjusted_p_value,log10_p
EC1.3,Week12,TNFA_NFkB_activation,1.2682708289023353e-4,0.11558457053013328,0.5170788007092662,0.0016226859750472402,2.789765517450102
EC1.1,Week12,TNFA_NFkB_activation,0.0706849795444436,0.015270903909537753,0.13990607008451672,0.12851814462626107,0.8910355528403533
EC1.2,Week12,TNFA_NFkB_activation,0.6283682159428854,0.007978486202986884,0.038527233697806446,0.711746968422951,0.14767437398780425
EC3,Week12,TNFA_NFkB_activation,0.01252865162186101,0.06998677993973575,0.5685341503708361,0.03854969729803388,1.4139790277896696
EC2,Week12,TNFA_NFkB_activation,0.5966277880033993,0.0019800956719470825,0.015270069070264092,0.7019150447098816,0.15371544890498234
EC1.3,Week12,Inflam_thrombogenesis,0.02005335821446399,0.10243965154260581,0.30845705709028903,0.0534756219052373,1.2718441560141756
EC1.1,Week12,Inflam_thrombogenesis,0.22104130106754782,-0.022329687445902656,-0.1268447244680576,0.34006354010391976,0.4684399284333074
EC1.2,Week12,Inflam_thrombogenesis,0.231501711214151,0.023455889474253394,0.09349758496764374,0.3429654980950385,0.4647495672476083
EC3,Week12,Inflam_thrombogenesis,0.8233024675076285,0.02567437371919737,0.1515231118985474,0.8444127871873112,0.0734451986675081
EC2,Week12,Inflam_thrombogenesis,0.5306822127291815,-0.0052567520125851586,-0.027545768577669636,0.6432511669444624,0.19161941724807674
EC1.3,Week12,Senesence,0.00795393186597392,0.10002656532846824,0.37892376138737627,0.028923388603541527,1.5387508273661563
EC1.1,Week12,Senesence,0.04911270481892918,0.019388346034045878,0.09872472912461756,0.09822540963785836,1.007776151336818
EC1.2,Week12,Senesence,0.04567905908622133,0.03205476509727784,0.1341018858124391,0.09616644018151858,1.016976460049741
EC3,Week12,Senesence,0.6405722715806559,-0.026481823968478452,-0.12353484935487591,0.711746968422951,0.14767437398780425
EC2,Week12,Senesence,0.004155295168484886,-0.15087427906038017,-0.583090529457319,0.018467978526599493,1.733580639090832
EC1.3,Week12,Athero_protective,8.402342012872735e-6,0.1661957838292189,0.6428971015594456,3.360936805149094e-4,3.473539653383856
EC1.1,Week12,Athero_protective,0.005307151641807158,-0.05456586623378584,-0.18087848251998606,0.021228606567228633,1.6730785117230378
EC1.2,Week12,Athero_protective,0.009133308807022027,-0.05172656459101015,-0.1948393029152558,0.030444362690073425,1.516493112858641
EC3,Week12,Athero_protective,0.017544482376130145,-0.18011407021126286,-0.5514416022619713,0.050127092503228984,1.299927484822878
EC2,Week12,Athero_protective,0.9935033750160814,-0.005532532975058901,-0.019461147297724284,0.9935033750160814,0.0028306532160977415
EC1.3,Week12,Athero_prone,0.6889543876064279,0.022343109850046727,0.04413277326997012,0.7252151448488714,0.13953313500176934
EC1.1,Week12,Athero_prone,0.5279721921821898,0.0103978328086968,0.03814168055200152,0.6432511669444624,0.19161941724807674
EC1.2,Week12,Athero_prone,0.4314935632376363,0.005799105408289804,0.022673892816351047,0.5753247509835151,0.24008694183694024
EC3,Week12,Athero_prone,0.2930118709609438,0.048297737187828316,0.20601297632491342,0.41858838708706253,0.37821282447790294
EC2,Week12,Athero_prone,0.001626514775969562,-0.23154440992097441,-0.7055559188157347,0.00813257387984781,2.089771982707715
EC1.3,Week12,ECenrichment_genes_circu,0.45604257510457197,-0.012535703211189915,-0.0738142537023805,0.5884420323929961,0.23029631319745278
EC1.1,Week12,ECenrichment_genes_circu,0.0014654456999948651,-0.026757307292061175,-0.20433789013234493,0.00813257387984781,2.089771982707715
EC1.2,Week12,ECenrichment_genes_circu,4.312293754046054e-4,-0.03301586935995617,-0.26590684718390284,0.0028748625026973696,2.54138292166923
EC3,Week12,ECenrichment_genes_circu,0.36526532218741864,-0.023827317550727825,-0.18926386222710165,0.5038142374998879,0.2977295637528149
EC2,Week12,ECenrichment_genes_circu,0.21584768760510153,-0.03935394538309847,-0.2567486894149575,0.34006354010391976,0.4684399284333074
EC1.3,Week12,ECenrichment_genes_cytokine,4.0872039583112835e-4,0.1394932882198056,0.5229516988842929,0.0028748625026973696,2.54138292166923
EC1.1,Week12,ECenrichment_genes_cytokine,0.029590250751182382,0.01713366218498258,0.17517873305422899,0.07019407827376369,1.1536995243588688
EC1.2,Week12,ECenrichment_genes_cytokine,3.004990745955643e-5,0.0760207673221725,0.3180410171300168,6.009981491911286e-4,3.221126865430401
EC3,Week12,ECenrichment_genes_cytokine,0.03109502527427414,0.08865246024435713,0.5707272615380653,0.07019407827376369,1.1536995243588688
EC2,Week12,ECenrichment_genes_cytokine,0.17911131850692477,-0.039413399284348616,-0.2706527737092814,0.29851886417820794,0.5250282194771921
EC1.3,Week12,ECenrichment_genes_immuneprocess,1.6226859750472403e-4,0.1348874762588409,0.5946241606068076,0.0016226859750472402,2.789765517450102
EC1.1,Week12,ECenrichment_genes_immuneprocess,0.6727913005066417,6.147563634121278e-4,0.004669746757152357,0.7252151448488714,0.13953313500176934
EC1.2,Week12,ECenrichment_genes_immuneprocess,0.07041175665004862,0.028344951044931177,0.14897573558370752,0.12851814462626107,0.8910355528403533
EC3,Week12,ECenrichment_genes_immuneprocess,0.11613248027961738,0.06712913094212156,0.40846326978951564,0.2019695309210737,0.6947141431817236
EC2,Week12,ECenrichment_genes_immuneprocess,0.03158733522319366,-0.06413254710669189,-0.34770472827967325,0.07019407827376369,1.1536995243588688
