cell_type,time_point,gene_set,p_value,mean_diff,cohen_d,adjusted_p_value,log10_p
ECs,Week12,TNFA_NFkB_activation,8.269583478771892e-19,0.07268358310932684,0.36092452344444725,1.447177108785081e-17,16.839478315694226
B cells,Week12,TNFA_NFkB_activation,0.8661341696597429,4.721525196020593e-4,0.0026262001643844305,0.8916087040615,0.049825700501996896
Macrophages,Week12,TNFA_NFkB_activation,1.483561115880282e-28,-0.055236180641572735,-0.22895749567057258,5.1924639055809865e-27,26.28462651369734
Fibroblasts,Week12,TNFA_NFkB_activation,8.736601227240228e-9,-0.013136133180914472,-0.12339520174438845,6.11562085906816e-8,7.2135594467257915
VSMCs,Week12,TNFA_NFkB_activation,0.15179076837846253,-0.008153218297650033,-0.08515737431891564,0.29578371036518936,0.5290257474902863
T cells,Week12,TNFA_NFkB_activation,0.21537904418542422,0.012998904528963018,0.06535032353619695,0.350708213944831,0.45505406237872026
Neutrophils,Week12,TNFA_NFkB_activation,0.6121217340068306,-0.012143302518415,-0.044112133668440336,0.6911051835560991,0.16045584964227694
ECs,Week12,Inflam_thrombogenesis,0.001388246430709239,0.03585938377213069,0.12918730952977434,0.0053987361194248185,2.2677078995482804
B cells,Week12,Inflam_thrombogenesis,0.18015535639847907,0.028736910842768304,0.203615488461602,0.3152718736973384,0.5013147721727992
Macrophages,Week12,Inflam_thrombogenesis,0.0413430404097835,-0.012589702915600146,-0.04847242986960201,0.10335760102445876,0.9856575793986305
Fibroblasts,Week12,Inflam_thrombogenesis,0.04649587328277327,-0.005867984265768567,-0.046442695449711593,0.10849037099313763,0.9646088056875152
VSMCs,Week12,Inflam_thrombogenesis,0.7410808822452475,-0.00683595765832945,-0.05670557739003644,0.8105572149557394,0.09121632410657154
T cells,Week12,Inflam_thrombogenesis,0.557636841582715,0.0172451518393944,0.10861057618376778,0.6505763151798342,0.18670175165044495
Neutrophils,Week12,Inflam_thrombogenesis,0.40203625374802016,0.019399426783333406,0.08406841104313319,0.5025453171850252,0.2988247694975337
ECs,Week12,Senesence,2.227526260113599e-8,0.05567644463924061,0.22589913166660977,1.2993903183995995e-7,6.886260373434352
B cells,Week12,Senesence,0.013249969972404203,0.059099569370658606,0.2961427399399915,0.03864574575284559,1.4128983076384045
Macrophages,Week12,Senesence,1.0823763729891552e-9,-0.03592994320177355,-0.12994653376032692,9.470793263655108e-9,8.023613643425469
Fibroblasts,Week12,Senesence,3.2605570247801357e-6,-0.01931501495672361,-0.09879135165555505,1.4264936983413093e-5,4.8457301425359205
VSMCs,Week12,Senesence,0.9461922938143572,-1.4064830470006395e-6,-7.0387874817183145e-6,0.9461922938143572,0.024020593348888536
T cells,Week12,Senesence,0.012375184943983085,0.049799236140032316,0.20776700545530613,0.03864574575284559,1.4128983076384045
Neutrophils,Week12,Senesence,0.15211733675924025,-0.022568036939911412,-0.09191908629163303,0.29578371036518936,0.5290257474902863
ECs,Week12,Athero_protective,4.897011425366286e-10,-0.08853752275515156,-0.24402359340144217,5.713179996260667e-9,8.243122093084324
B cells,Week12,Athero_protective,0.005033074440903243,0.058097722994336354,0.3032169822207213,0.01761576054316135,1.7540986018402216
Macrophages,Week12,Athero_protective,0.03856582802048195,0.00819024168154242,0.04099509527195419,0.10335760102445876,0.9856575793986305
Fibroblasts,Week12,Athero_protective,0.782682039283238,-0.008700244709086896,-0.02352147897869981,0.830117314391313,0.08086052763296016
VSMCs,Week12,Athero_protective,5.186265536692223e-7,0.06184093445082611,0.2777588691002674,2.5931327683461113e-6,5.586175246792564
T cells,Week12,Athero_protective,0.22044516305103662,0.00275827926562483,0.017224740626364782,0.350708213944831,0.45505406237872026
Neutrophils,Week12,Athero_protective,0.24404092558201024,0.027439381029516714,0.13405872691617948,0.3558930164737649,0.4486805338749532
ECs,Week12,Athero_prone,0.28393800951695963,-0.029514087025361874,-0.08447959621893514,0.39751321332374345,0.40064843083590085
B cells,Week12,Athero_prone,0.24168529279602724,-0.012161613304561836,-0.06805486310694148,0.3558930164737649,0.4486805338749532
Macrophages,Week12,Athero_prone,0.05137227981694474,-0.007739429272917764,-0.03960052377260931,0.11237686209956663,0.949323098881706
Fibroblasts,Week12,Athero_prone,0.37925076256737855,-0.00669460749712468,-0.03812934597182784,0.49162135888363884,0.3083692571041384
VSMCs,Week12,Athero_prone,0.17195870063138163,-0.014810428651129387,-0.08654259780512373,0.3152718736973384,0.5013147721727992
T cells,Week12,Athero_prone,0.34199609154986116,0.015980241788859373,0.13838250591592222,0.46037935400942853,0.33688416080425343
Neutrophils,Week12,Athero_prone,0.4483044311928354,0.010062079815075009,0.11944813232670681,0.5410570721292841,0.26675692194792155
