"","ident","Gene","Mean","SE","Median","N"
"1","WT_Week0","Aqp1",0.105790341097848,0.00309497316229883,0,13640
"2","WT_Week0","Ccm2",0.180259486750442,0.00301452417550785,0,13640
"3","WT_Week0","Klf2",1.10895713379415,0.00753901301372038,1.09861228866811,13640
"4","WT_Week0","Klf4",1.07948052941691,0.00716824882389722,1.09861228866811,13640
"5","WT_Week0","Nos3",0.0701928196976045,0.00247373933533409,0,13640
"6","Het_Week0","Aqp1",0.112453395205861,0.00336136130250119,0,13822
"7","Het_Week0","Ccm2",0.151871718092512,0.00276622777537342,0,13822
"8","Het_Week0","Klf2",1.18351449957658,0.00758543175982959,1.09861228866811,13822
"9","Het_Week0","Klf4",1.07051703396323,0.00716199639738792,1.09861228866811,13822
"10","Het_Week0","Nos3",0.0795300823567001,0.00262461614848785,0,13822
"11","WT_Week12","Aqp1",0.0847504189268363,0.00322787887256166,0,12103
"12","WT_Week12","Ccm2",0.178116624959268,0.00321385089583322,0,12103
"13","WT_Week12","Klf2",1.10790029983084,0.00832591376648455,1.09861228866811,12103
"14","WT_Week12","Klf4",1.01553215520265,0.00735649428926691,0.693147180559945,12103
"15","WT_Week12","Nos3",0.0666268891239785,0.002587649652709,0,12103
"16","Het_Week12","Aqp1",0.102605433077658,0.00342568061634712,0,11743
"17","Het_Week12","Ccm2",0.13005752454756,0.0027768856258121,0,11743
"18","Het_Week12","Klf2",1.16687000864752,0.00823442597191812,1.09861228866811,11743
"19","Het_Week12","Klf4",0.967499153508979,0.00722556412288275,0.693147180559945,11743
"20","Het_Week12","Nos3",0.0692253854177984,0.00255909108256099,0,11743
