p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
0,5.174168446574449,0.995,0.253,0,Fibroblasts,Dcn
0,4.32922075268138,0.998,0.566,0,Fibroblasts,Gsn
0,3.9476546658100036,0.993,0.282,0,Fibroblasts,Col1a1
0,3.82704066969806,0.999,0.338,0,Fibroblasts,Col1a2
0,3.47064568765038,0.861,0.096,0,Fibroblasts,Clec3b
0,3.469420725256117,1,0.475,0,Fibroblasts,Sparc
0,3.4227202340947724,0.977,0.277,0,Fibroblasts,Serpinf1
0,3.410910368771763,0.996,0.338,0,Fibroblasts,Col3a1
0,3.2854063871166637,0.984,0.191,0,Fibroblasts,Serping1
0,3.273136595741196,0.943,0.112,0,Fibroblasts,Lum
0,3.2528810534053036,0.884,0.129,0,Fibroblasts,Pi16
0,3.071989342402227,0.816,0.18,0,Fibroblasts,Mfap4
0,2.930801873338519,0.954,0.231,0,Fibroblasts,Col14a1
0,2.9033622163919404,0.978,0.298,0,Fibroblasts,Mfap5
0,2.886618576262649,0.566,0.026,0,Fibroblasts,Igfbp6
0,2.774900507036036,0.598,0.079,0,Fibroblasts,Sfrp2
0,2.6397830339857533,0.91,0.072,0,Fibroblasts,Dpt
0,2.602182139907303,0.916,0.099,0,Fibroblasts,Pcolce
0,2.5941673356048995,0.489,0.049,0,Fibroblasts,Igfbp5
0,2.5928038875067068,0.979,0.631,0,Fibroblasts,Nupr1
0,4.047754433566879,0.991,0.366,0,Macrophages,Lyz2
0,3.6862952860322533,0.927,0.319,0,Macrophages,C1qa
0,3.677940770211534,0.932,0.319,0,Macrophages,C1qb
0,3.5708187106764866,0.886,0.342,0,Macrophages,Cd74
0,3.3890430017971283,0.921,0.295,0,Macrophages,C1qc
0,3.34710684561425,0.743,0.265,0,Macrophages,H2-Eb1
0,3.271696454655423,0.773,0.266,0,Macrophages,H2-Ab1
0,3.2569895859107434,0.882,0.269,0,Macrophages,F13a1
0,3.240966372652349,0.751,0.267,0,Macrophages,H2-Aa
0,3.238917382275324,0.847,0.317,0,Macrophages,Cxcl2
0,3.182998319622466,0.911,0.27,0,Macrophages,Mrc1
0,3.1690696441693262,0.905,0.31,0,Macrophages,Pf4
0,2.965121997999257,0.583,0.175,0,Macrophages,Ccl4
0,2.76001100637203,0.988,0.292,0,Macrophages,Fcer1g
0,2.7017540538164906,0.93,0.243,0,Macrophages,Cd83
0,2.6801650057079893,0.96,0.792,0,Macrophages,Apoe
0,2.583198786122304,0.896,0.239,0,Macrophages,Mctp1
0,2.4938221486786993,0.94,0.51,0,Macrophages,Rbpj
0,2.4544378678013032,0.838,0.201,0,Macrophages,Ccl6
0,2.4457777075445506,0.983,0.274,0,Macrophages,Tyrobp
0,6.331245867481513,0.997,0.191,0,VSMCs,Acta2
0,5.957778248095757,0.993,0.141,0,VSMCs,Tagln
0,4.712284810097207,0.966,0.134,0,VSMCs,Tpm2
0,4.546567625840714,0.957,0.006,0,VSMCs,Myh11
0,4.216860897705449,0.952,0.217,0,VSMCs,Dmd
0,4.144809792548108,0.98,0.23,0,VSMCs,Myl9
0,3.723965996945084,0.945,0.094,0,VSMCs,Itga8
0,3.493045056860588,0.563,0.018,0,VSMCs,Rgs5
0,3.3623882643941583,0.963,0.355,0,VSMCs,Pcdh7
0,3.3414915567890953,0.989,0.327,0,VSMCs,Tpm1
0,3.188050527227809,0.922,0.003,0,VSMCs,Cnn1
0,3.102678188725692,0.995,0.484,0,VSMCs,Cald1
